date;time;TreeID;psi_1;psi_2;psi_avg
04/07/2023;13:00;BC1;13,08;13,03;13,06
04/07/2023;13:00;BC2;13,05;14,06;13,56
04/07/2023;13:00;BQ1;9,05;11,08;10,07
04/07/2023;13:00;BQ2;14,02;12,01;13,02
04/07/2023;13:00;BQ3;10,08;13,08;11,58
10/07/2023;14:40;BC1;12,03;10,02;11,03
10/07/2023;14:40;BC2;12,02;9,06;10,54
10/07/2023;14:40;BQ1;10,04;9,05;9,55
10/07/2023;14:40;BQ2;8,02;10,03;9,03
10/07/2023;14:40;BQ3;10,07;11,02;10,55
12/07/2023;14:34;BC1;12,09;12,02;12,06
12/07/2023;14:34;BC2;12,02;8,05;10,04
12/07/2023;14:34;BQ1;5,07;6,07;5,57
12/07/2023;14:34;BQ2;7,02;7,07;7,05
12/07/2023;14:34;BQ3;7,04;9,02;8,03
19/07/2023;16:05;BC3;8,01;8,09;8,05
19/07/2023;16:05;BC4;8,02;7,02;7,52
19/07/2023;16:05;BQ4;7,02;6,07;6,55
19/07/2023;16:05;BQ5;7,08;7,07;7,08
19/07/2023;16:05;BQ6;7,05;8;7,53
21/07/2023;15:47;BC3;7,08;8,09;7,59
21/07/2023;15:47;BC4;9,02;8,08;8,55
21/07/2023;15:47;BQ4;8;9;8,5
21/07/2023;15:47;BQ5;8,02;9,02;8,52
21/07/2023;15:47;BQ6;9,02;9,01;9,02
25/07/2023;14:30;BC3;13;11;12
25/07/2023;14:30;BC4;11,05;9,05;10,05
25/07/2023;14:30;BQ4;7;8,01;7,51
25/07/2023;14:30;BQ5;19,03;20,01;19,52
25/07/2023;14:30;BQ6;9,05;9;9,03
01/08/2023;16:10;BC5;7,08;7,07;7,08
01/08/2023;16:10;BC6;7,06;7,04;7,05
01/08/2023;16:10;BQ7;5,03;5,06;5,05
01/08/2023;16:10;BQ8;7;7,06;7,03
01/08/2023;16:10;BQ9;6,02;5,08;5,55
04/08/2023;14:00;BC5;7,08;7,09;7,09
04/08/2023;14:00;BC6;7,02;7,08;7,05
04/08/2023;14:00;BQ7;7,06;7,08;7,07
04/08/2023;14:00;BQ8;12;10,03;11,02
04/08/2023;14:00;BQ9;7,03;7,05;7,04
10/08/2023;15:00;BC7;12,06;8,05;10,06
10/08/2023;15:00;BC8;10,04;10,02;10,03
10/08/2023;15:00;BQ10;9,04;8,07;8,56
10/08/2023;15:00;BQ11;7,02;8,07;7,55
10/08/2023;15:00;BQ12;9,04;9,06;9,05
